hub_id	source_label	pointer_def	target_label	target_hub_id	target_hub_label	target_hub_status	resolved_def	resolved_def_quality	scheme_id	resolution_status
hub:011072	法定納期限	→納期限	納期限	hub:009755	納期限	canonical	租税を納付すべき期限のこと。法定納期限と具体的納期限とがある。法定納期限は、各税法が租税を納付すべき本来の期限として予定しているもの（税通一〇）であり、納税義務の消滅時効の起算日とされ（七二）、また、その翌日が延滞税の計算期間の起算日とされている（六〇）。具体的納期限は、納税義務が確定した租税の具体的な履行期限であり、その日までに納付しなければ履行遅滞を生じ、督促及び滞納処分を受けることとなるもので、法令上は単に納期限と呼ばれる。申告納税の租税の場合、法定申告期限が一般に法定納期限とされているので、期限内申告により確定した税額については法定納期限と具体的納期限とが一致するが、期限後申告、修正申告及び更正・決定により確定した税額については両者は一致せず、期限後申告及び修正申告に係る具体的納期限はその申告の日、更正・決定に係る具体的納期限は当該処分に係る通知書が発せられた日の翌日から起算して一月を経過する日が具体的納期限となる	ok	yuhikaku_legal_dict	resolved
hub:011076	法廷侮辱	↳裁判所侮辱	裁判所侮辱	hub:004638	裁判所侮辱	canonical	裁判所の威信を保持し、その命令を貫徹するために、裁判所の固有の権能として、その威信を傷つけ、その命令に服従しない者に対し、自ら直接に強制制裁を加えることのできるイギリスなどの制度。法廷侮辱ともいう。我が国では、「法廷等の秩序維持に関する法律」が、民主社会における法の権威を確保するため、法廷等の秩序を維持し、裁判の威信を保持することを目的として裁判所又は裁判官に対する侮辱的行為について、監置等の制裁を科すことやその裁判手続等を定めている。	ok	yuhikaku_legal_dict	resolved
hub:011149	法律哲学	→法哲学	法哲学	hub:011083	法哲学	canonical	法の哲学。法律哲学ともいう。法哲学自体の概念についても各種の見解があるが、法の本質を究め、法の理念、理想を明らかにし、又は法学の方法論を確立することを主たる内容とする学問分野である。普通の法学が実定法の解釈を中心とするのに対し、実定法の基礎や根拠についての考察が中心となっている。	ok	yuhikaku_legal_dict	resolved
hub:011147	法律的行為	→準法律行為	準法律行為	hub:006023	準法律行為	canonical	広義には、私法上の法律効果を発生させる行為のうち法律行為以外のもの。法律的行為ともいう。一定の意識内容の表現であることを本質とするもの（表現行為といい、意思通知、観念の通知及び感情の表示が含まれる）と、行為そのものとして法律効果を認められるもの（非表現行為又は実行為といい、先占、遺失物拾得、事務管理等が含まれる）とに分けられ、狭義には表現行為のみをいう。表現行為には意思表示の通則（行為能力、錯誤、代理等に関する規定）が類推適用される。	ok	yuhikaku_legal_dict	resolved
hub:011081	法的人格	↳人	人	hub:010238	人	canonical	法律上、法律関係の帰属主体を指す。権利能力を有する者で、法的人格ともいう。およそ自然人たるものは全て人として、生まれながらにして当然に完全な権利能力者として認められる。法人も、原則としてあらゆる法律関係につき権利能力を有し、その限りにおいて人である。なお、民法一編二章の「人」や刑法の殺人罪の「人」などに法人が含まれないのは、事柄の性質上当然である。	ok	yuhikaku_legal_dict	resolved
hub:012226	法科目	⇨議定科目	議定科目	hub:001908	議定科目	canonical	国会の議決の対象となる予算科目。立法科目ともいう。部、款、項、目のうち、部、款、項がそれ。議定科目については、予算の執行上一定の制約が設けられている。	ok	yuhikaku_legal_dict	resolved
hub:012275	流用（予算の）	⇨予算の流用	予算の流用	hub:012083	予算の流用	canonical	国の歳出予算又は継続費において、同じ項に属する各目の間で金額を移して使うこと。費目流用ともいい、原則として財務大臣の承認を要する（財三四②）。なお、地方公共団体の予算等についても流用の制度は認められている（自治二二〇②等）。	ok	yuhikaku_legal_dict	resolved
hub:000943	海上封鎖	⇨封鎖	封鎖	hub:010341	封鎖	canonical	戦時において敵の海上交通を防止するため海軍力により船舶の出入りを遮断すること（例、国連憲章四二）。成文法規としては一八五六年のパリ宣言及び一九〇九年のロンドン宣言がある。宣言、告知、実効性、全ての船舶に対する公平が要件とされ、要件を満たした封鎖を突破した船舶は捕獲される。このような封鎖概念が今日でも通用するかは疑わしい。 レ 平時封鎖	ok	yuhikaku_legal_dict	resolved
hub:003085	減債制度	↓国債償還制度	国債償還制度	hub:003963	国債償還制度	canonical	国債の償還を円滑に行うための財政上の制度で、減債制度ともいう。我が国では国債整理基金特別会計を中心に制度が成り立っており、一般会計等は国債償還のための財源を国債整理基金特別会計に繰り入れ、同特別会計において、この受け入れた財源と借換債の発行収入とをもって総合的、弾力的に国債の償還を行っている。同特別会計に対する償還財源の繰入れ方法としては、定率繰入れ（前年度首国債残高の一〇〇分の一・六相当額（特会四三②））、剰余金繰入れ（一般会計の決算上の剰余金の二分の一以上（財六））、予算繰入れ（必要に応じ予算で定める額（特会四三⑤））の三つがある。	ok	yuhikaku_legal_dict	resolved
hub:012830	準軍属	「軍属」	軍属	hub:002753	軍属	canonical	軍に所属する公務員で軍人（軍の構成員）以外のものを指す場合に用いられる用語である。用例としては次のようなものがある。\n\n1. 旧陸軍又は海軍の部内の公務員又は公務員に準ずべきものをいう（恩給法の一部を改正する法律（昭和28年法律155号）附則10Ⅰ)。\n2. 旧陸軍又は海軍部内の有給の嘱託員，雇傭員，傭人，工員又は鉱員（死亡後，死亡の際に遡及してこれらの身分を取得した者等を除く。)のほか,旧国家総動員法（昭和13年法律55号）（旧関東州国家総動員令（昭和14年勅令609号）を含む。）に基づいて設立された船舶運営会の運航する船舶の乗組船員等を含んだ意味で用いられる（戦傷病者戦没者遺族等援護法2Ⅰ)。\n3. 日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定において「軍属」という用語を用いており，アメリカ合衆国の国籍を有する文民で日本国にある合衆国軍隊に雇用され,これに勤務し，又はこれに随伴するものをいうものとされている(同協定1(b))。\n\n類語]軍人準軍人（菊）	ok	hourei_yougo_jiten_11	resolved
