T1_distinctive,日本メール・オーダー事件,救済命令取消請求上告事件,2,27000014,昭和５０年（行ツ）７７号／昭和５０年（行ツ）７８号,昭和59.5.29,最高三小判,issn:0917-1592#v12n12#p45,生産性向上協力の条件付回答と不当労働行為――日本メール・オーダー救済命令取消請求上告事件（昭和５９．５．２９最高三小判）,
T1_distinctive,ハンセン病国家賠償訴訟,「らい予防法」違憲国家賠償請求事件,1,28061048,平成１０年（ワ）７６４号／平成１０年（ワ）１０００号／平成１０年（ワ）１２８２号／平成１１年（ワ）３８３号,平成13.5.11,熊本地判,issn:0387-2882#v69n1#p117,ハンセン病国家賠償訴訟熊本地裁判決（「らい予防法」違憲国家賠償請求事件）（平成１３．５．１１熊本地判）＜公法判例研究＞,
T1_distinctive,神奈川県臨時特例企業税条例事件,神奈川県臨時特例企業税通知処分取消等請求事件,1,28210886,平成２２年（行ヒ）２４２号,平成25.3.21,最高一小判,issn:0387-2882#2013-12#p111,神奈川県臨時特例企業税通知処分取消等請求事件（平成２５．３．２１最高一小判）＜公法判例研究＞,
T1_distinctive,神奈川県臨時特例企業税条例事件,神奈川県臨時特例企業税通知処分取消等請求事件,1,28210886,平成２２年（行ヒ）２４２号,平成25.3.21,最高一小判,issn:0439-3295#v58n7#p109,臨時特例企業税条例が地方税法に違反し違法・無効であるとされた事例――神奈川県臨時特例企業税通知処分取消等請求事件（平成２,
T1_distinctive,杉並区住基ネット訴訟,住基ネット受信義務確認等請求事件,1,28111458,平成１６年（行ウ）３７２号,平成18.3.24,東京地判,issn:0439-3295#v52n2#p117,行政主体相互間の紛争と主観訴訟――杉並区・住基ネット受信義務確認等請求事件（平成１８．３．２４東京地判）＜最新判例演習室,
T1_distinctive,東京都銀行税訴訟,東京都外形標準課税条例無効確認等請求控訴事件,1,28080770,平成１４年（行コ）９４号／平成１４年（行コ）２４５号／平成１４年（行コ）２４６号／平成１４年（行コ）２４７号／平成１４年（行コ）２４８号等,平成15.1.30,東京高判,issn:0387-3617#256#p123,東京都外形標準課税条例無効確認等請求控訴事件（平成１５．１．３０東京高判）＜判例解説＞,
T1_distinctive,訴訟上の救助の決定に対し訴訟,訴訟救助決定に対する抗告審の取消決定に対する許可抗告事件,1,28092031,平成１６年（行フ）４号,平成16.7.13,最高二小決,issn:1342-5056#v132n1#p47,訴訟救助決定に対する抗告審の取消決定に対する許可抗告事件（平成１６．７．１３最高二小決）＜判例批評＞,
T1_distinctive,予防訴訟,国歌斉唱義務不存在確認等請求事件,2,28112109,平成１６年（行ウ）５０号／平成１６年（行ウ）２２３号／平成１６年（行ウ）４９６号／平成１７年（行ウ）２３５号,平成18.9.21,東京地判,issn:0439-3295#v52n1#p107,国歌斉唱義務不存在確認等請求事件――東京地裁判決（平成１８．９．２１東京地判）＜最新判例演習室 憲法＞,
T1_distinctive,公取委審判事件,事件記録閲覧謄写許可処分取消、公正取引委員会審判事件記録閲覧謄写許可処分取消、公正取引委員会審判記録閲覧謄写許可執行取消請求事件,1,28082414,平成１４年（行ヒ）２４２号,平成15.9.9,最高三小判,isbn:bj-199#p224,公取委の審判事件記録開示（１）――審判事件記録開示を請求できる「利害関係人」の範囲〔審判事件記録閲覧謄写許可処分取消請求,
T1_distinctive,公取委審判事件,事件記録閲覧謄写許可処分取消、公正取引委員会審判事件記録閲覧謄写許可処分取消、公正取引委員会審判記録閲覧謄写許可執行取消請求事件,1,28082414,平成１４年（行ヒ）２４２号,平成15.9.9,最高三小判,issn:0387-3617#267#p65,公取委審判事件記録閲覧謄写許可処分取消訴訟上告審判決（平成１５．９．９最高三小判）＜判例解説＞,
