case_name_normalized,court,date,distinct_case_names,hanrei_docket_count,verdict,hanrei_dockets
電気通信事業に従事する者及びその職を退いた者と民事訴訟,最高一小決,令和3.3.18,5,2,SPLIT_confirmed,令和１年（行ツ）１７９号|令和２年（許）１０号
NTT東日本事件,公取委,平成19.3.26,3,0,unresolved_no_hanrei,
アジアエレクトロニクス事件,東京地判,平成14.10.29,2,0,unresolved_no_hanrei,
エム・ディ・エス・ノーディオン事件,公取委,平成10.9.3,3,0,unresolved_no_hanrei,
ニデック対牧野フライス製作所事件,東京地決,令和7.5.7,2,0,unresolved_no_hanrei,
ビームス事件,東京高判,平成19.10.12,2,0,unresolved_no_hanrei,
ユナイテッド・エアーラインズ事件,東京高判,令和3.12.22,2,0,unresolved_no_hanrei,
ロス疑惑スポーツニッポン新聞事件,最高三小判,平成9.5.27,3,0,unresolved_no_hanrei,
三洋電機違法配当事件,大阪地判,平成24.9.28,2,0,unresolved_no_hanrei,
井関松山製造所事件,高松高判,令和1.7.8,4,0,unresolved_no_hanrei,
京都朝鮮第一初級学校襲撃事件,京都地判,平成25.10.7,3,0,unresolved_no_hanrei,
佐用郡で四季を通じて屋内温水プールを享受できたはずのリゾートマンション事件,最高三小判,平成8.11.12,2,5,SPLIT_confirmed,平成５年（オ）１５７９号|平成５年（オ）１７４７号|平成７年（オ）２２８号|平成７年（行ツ）１０１号|平成８年（オ）１０５６号
多摩談合事件,最高一小判,平成24.2.20,3,11,SPLIT_confirmed,平成２１年（受）１４６１号／平成２１年（受）１４６２号|平成２１年（行ツ）２６５号／平成２１年（行ヒ）３３７号|平成２１年（行ツ）３２３号／平成２１年（行ヒ）４２０号|平成２２年（行ツ）１４７号／平成２２年（行ヒ）１６０号|平成２２年（行ツ）１４８号／平成２２年（行ヒ）１６１号|平成２２年（行ツ）１４９号／平成２２年（行ヒ）１６２号
夫婦別姓訴訟,東京地判,平成5.11.19,2,0,unresolved_no_hanrei,
富士写真フイルム事件,公取委,昭和56.5.11,4,0,unresolved_no_hanrei,
寺西事件,,平成10.12.1,2,10,SPLIT_confirmed,平成１０年（ワ）２２０９号|平成１０年（分ク）１号|平成１０年（少コ）１０号|平成１０年（行ケ）１２５号|平成４年（行コ）２号|平成５年（ワ）１２１１号
愛媛玉串料訴訟,松山地判,平成1.3.17,2,0,unresolved_no_hanrei,
新島漂着砲弾爆発事故事件,最高二小判,昭和59.3.23,2,2,SPLIT_confirmed,昭和５６年（オ）１７４号|昭和５７年（オ）１３５６号
日暮里・舎人ライナー用地買収用代替予定地事件,最高三小判,平成22.6.1,3,2,SPLIT_confirmed,平成２１年（受）１７号／平成２１年（オ）１７号|平成２２年（オ）７２８号／平成２２年（受）８９４号
日興コーディアル株式買取価格決定事件,東京地決,平成21.3.31,2,0,unresolved_no_hanrei,
東大医科研病院事件,最高三小判,平成12.2.29,4,3,SPLIT_confirmed,平成１０年（オ）１０８１号／平成１０年（オ）１０８２号|平成１０年（行ツ）１９号|平成８年（オ）２２２４号
生活保護基準引下げ違憲訴訟,大阪地判,令和3.2.22,2,0,unresolved_no_hanrei,
生活保護老齢加算廃止訴訟,東京高判,平成22.5.27,4,0,unresolved_no_hanrei,
防衛庁石油製品談合事件,最高二小決,平成17.11.21,4,3,SPLIT_confirmed,平成１６年（あ）１４７８号|平成１６年（受）１４３４号|平成１７年（受）７２１号
顔真卿自書建中告身帖事件,最高二小判,昭和59.1.20,2,3,SPLIT_confirmed,昭和５７年（あ）１４００号|昭和５８年（あ）５９３号|昭和５８年（オ）１７１号
Chups事件,知財高判,平成24.2.14,2,0,unresolved_no_hanrei,
アメリカン・エキスプレス事件,東京高判,令和5.4.27,2,0,unresolved_no_hanrei,
アンシス・ジャパン事件,東京地判,平成27.3.27,2,0,unresolved_no_hanrei,
シェル石油事件,最高二小判,昭和59.11.26,2,2,SPLIT_confirmed,昭和５５年（オ）１２１５号|昭和５６年（行ツ）８３号
スルガ銀行・日本IBM事件,東京地判,平成24.3.29,3,0,unresolved_no_hanrei,
ノーモア・ミナマタ第2次近畿訴訟,大阪地判,令和5.9.27,2,0,unresolved_no_hanrei,
京濱交通事件,横浜地川崎支判,平成22.2.25,3,0,unresolved_no_hanrei,
北朝鮮事件,知財高判,平成20.12.24,2,0,unresolved_no_hanrei,
南九州コカコーラ・ボトリング事件,最高二小判,平成21.7.10,2,0,unresolved_no_hanrei,
堀越事件,東京高判,平成22.3.29,2,0,unresolved_no_hanrei,
川義事件,最高三小判,昭和59.4.10,2,1,MERGE_party_alias,昭和５８年（オ）１５２号
断食道場事件,最高三小判,平成2.3.6,3,5,SPLIT_confirmed,平成１年（オ）１１３１号|平成１年（行ツ）１７４号|昭和６１年（オ）６４８号|昭和６３年（オ）９６０号|昭和６３年（行ツ）１０２号
日経新聞株式譲渡ルール事件,最高三小判,平成21.2.17,2,0,unresolved_no_hanrei,
早稲田大学江沢民講演会名簿提出事件,最高二小判,平成15.9.12,2,5,SPLIT_confirmed,平成１４年（オ）１５４１号／平成１４年（受）１５６４号|平成１４年（受）１６５６号|平成１４年（受）５４８号|平成１５年（受）２４１号|平成１５年（行フ）１号
旭化成工業ほか事件,公取委,昭和47.12.27,3,0,unresolved_no_hanrei,
旭川市国民健康保険条例事件,,平成18.3.1,2,8,SPLIT_confirmed,平成１２年（行ツ）６２号／平成１２年（行ヒ）６６号|平成１６年（ワ）４９０号|平成１６年（ワ）８６３２号|平成１７年（ワ）２３７１５号|平成１７年（行ケ）１０２７３号|平成１７年（行ケ）１０３６０号
洋書センター事件,東京高判,昭和61.5.29,2,0,unresolved_no_hanrei,
福岡市造園工事談合事件,公取委,平成13.9.12,3,0,unresolved_no_hanrei,
第四銀行事件,東京高判,平成4.8.28,3,0,unresolved_no_hanrei,
経済産業省事件,東京地判,令和1.12.12,3,0,unresolved_no_hanrei,
道立夕張南高校事件,最高一小判,昭和61.12.18,2,1,MERGE_party_alias,昭和５７年（行ツ）１６６号
A農協事件,東京高判,平成27.6.24,2,0,unresolved_no_hanrei,
を守る会事件,東京地判,平成27.10.2,2,0,unresolved_no_hanrei,
インテル事件,公取委,平成17.4.13,2,0,unresolved_no_hanrei,
カール・ツアイス事件,東京地判,平成1.9.22,2,0,unresolved_no_hanrei,
ビクターサービスエンジニアリング事件,最高三小判,平成24.2.21,2,1,MERGE_party_alias,平成２２年（行ヒ）４８９号
リーディング証券事件,東京地判,平成25.1.31,2,0,unresolved_no_hanrei,
京都市立浴場運営財団ほか事件,京都地判,平成29.9.20,2,0,unresolved_no_hanrei,
伊予銀行・いよぎんスタッフサービス事件,松山地判,平成15.5.22,2,0,unresolved_no_hanrei,
敦賀原発風評事件,名古屋高金沢支判,平成1.5.17,2,0,unresolved_no_hanrei,
日本レストランシステム事件,大阪高判,平成17.1.25,2,0,unresolved_no_hanrei,
本田技研工業事件,東京地判,平成24.2.17,2,0,unresolved_no_hanrei,
東京地裁厚生部事件,最高二小判,昭和35.10.21,2,6,SPLIT_confirmed,昭和２４年（オ）２９５号|昭和３１年（オ）８３５号|昭和３２年（オ）９０７号|昭和３５年（オ）３２３号|昭和３５年（オ）３９１号|昭和３５年（オ）７１１号
東京電力パワーグリッド事件,東京地判,平成29.11.30,2,0,unresolved_no_hanrei,
東洋製罐事件,公取委,昭和47.9.18,2,0,unresolved_no_hanrei,
松下プラズマディスプレイ事件,大阪高判,平成20.4.25,2,0,unresolved_no_hanrei,
甲野堂薬局事件,最高一小判,平成26.3.6,2,5,SPLIT_confirmed,平成２４年（受）１３３号|平成２５年（オ）１６６３号／平成２５年（受）２０４１号|平成２５年（受）１９７号|平成２６年（オ）１２１号／平成２６年（受）１５６号|平成２６年（行ツ）１０号／平成２６年（行ヒ）１６号
社会福祉法人恩賜財団済生会事件,山口地判,令和5.5.24,2,0,unresolved_no_hanrei,
神代学園ミューズ音楽院事件,東京高判,平成17.3.30,2,0,unresolved_no_hanrei,
豊國工業事件,奈良地判,平成18.9.5,2,0,unresolved_no_hanrei,
防衛庁石油製品談合刑事事件,東京高判,平成16.3.24,2,0,unresolved_no_hanrei,
予防訴訟,最高一小判,平成24.2.9,2,3,SPLIT_confirmed,平成２２年（オ）８４５号／平成２２年（受）１０４５号|平成２３年（受）２０２９号|平成２３年（行ツ）１７７号／平成２３年（行ツ）１７８号／平成２３年（行ヒ）１８２号
函館新聞社事件,東京高判,平成18.9.27,4,0,unresolved_no_hanrei,
株式会社が取締役に損害賠償を請求する訴訟において原告の設置した取締役責任調査委員会の委員であった弁護士が原告の訴訟代理人として行う訴訟,最高一小決,令和4.6.27,3,1,MERGE_party_alias,令和４年（許）３号
デラウェア州法LPS事件と英領バミューダ法LPS事件,最高二小判,平成27.7.17,2,2,SPLIT_confirmed,平成２５年（行ヒ）１６６号|平成２７年（オ）５９６号／平成２７年（受）７３８号
公正取引委員会審判事件記録閲覧謄写許可処分取消請求事件,東京高判,平成14.6.5,4,0,unresolved_no_hanrei,
内閣総理大臣による靖国神社参拝訴訟,最高二小判,平成18.6.23,4,3,SPLIT_confirmed,平成１７年（オ）１１２５号／平成１７年（受）１３００号|平成１７年（受）１１９２号|平成１７年（受）２１８４号
景表法の不実証広告規制規定に基づく措置命令に対する取消訴訟,東京地判,平成28.11.10,2,0,unresolved_no_hanrei,
熱海市ストーカ炉談合損害賠償請求事件,東京高判,平成25.3.15,3,0,unresolved_no_hanrei,
都市公園テント除却国家賠償請求事件,大阪地判,平成21.3.25,5,0,unresolved_no_hanrei,
いわゆるTFK事件とクラヴィス事件,東京高判,平成26.4.23,2,0,unresolved_no_hanrei,
家賃保証契約における契約条項差止請求事件,最高一小判,令和4.12.12,2,1,MERGE_party_alias,令和３年（受）９８７号
市議会議員が所属会派に提出した政務調査費にかかる調査研究報告書及びその添付書類が民事訴訟,最高一小決,平成17.11.10,3,2,SPLIT_confirmed,平成１５年（受）２８１号|平成１７年（行フ）２号
建築請負人からの注文者に対する請負契約に係る建物の所有権保存登記抹消登記手続請求訴訟の提起及び右訴訟,最高一小判,平成11.11.25,2,3,SPLIT_confirmed,平成１１年（オ）１４１７号／平成１１年（受）１１９０号|平成８年（オ）１８２５号|平成８年（オ）７１８号
昭和43年に土地区画整理による換地処分の行われた土地の境界確定訴訟,東京地判,平成18.10.31,2,0,unresolved_no_hanrei,
東京地裁商事部によるファミリーマート事件決定とNTT都市開発事件,東京地決,令和5.3.23,2,0,unresolved_no_hanrei,
米国著作権の侵害差止・損害賠償請求事件,東京地判,平成14.11.18,2,0,unresolved_no_hanrei,
薬害イレッサ訴訟,東京高判,平成23.11.15,4,0,unresolved_no_hanrei,
