object,op,key,detail,before_row,after_row,reason
hanrei,TRUE_DUP(dedup remove),28234202,merged into 判例ID=28234202 (survivor),28234202 | 最高第1小法廷 | 20151203 | h26(あ)749 | 最高第1小法廷|20151203|h26(あ)749 | 最高裁判所第一小法廷 | 平成２７年１２月３日 | 平成２６年（あ）７４９号 | 強盗殺人被告事件,(removed; survivor=28234202 | 最高第1小法廷 | 20151203 | h26(あ)749 | 最高第1小法廷|20151203|h26(あ)749 | 最高裁判所第一小法廷 | 平成２７年１２月３日 | 平成２６年（あ）７４９号 | 強盗殺人被告事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28240605,merged into 判例ID=28240605 (survivor),28240605 | 東京地 | 20151125 | h22(ワ)26192 | 東京地|20151125|h22(ワ)26192 | 東京地方裁判所 | 平成２７年１１月２５日 | 平成２２年（ワ）２６１９２号 | 遺言無効確認等請求事件,(removed; survivor=28240605 | 東京地 | 20151125 | h22(ワ)26192 | 東京地|20151125|h22(ワ)26192 | 東京地方裁判所 | 平成２７年１１月２５日 | 平成２２年（ワ）２６１９２号 | 遺言無効確認等請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28234386,merged into 判例ID=28234386 (survivor),28234386 | 東京地 | 20151002 | h25(ワ)6160 | 東京地|20151002|h25(ワ)6160 | 東京地方裁判所 | 平成２７年１０月２日 | 平成２５年（ワ）６１６０号 | 貸金請求事件,(removed; survivor=28234386 | 東京地 | 20151002 | h25(ワ)6160 | 東京地|20151002|h25(ワ)6160 | 東京地方裁判所 | 平成２７年１０月２日 | 平成２５年（ワ）６１６０号 | 貸金請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28260275,merged into 判例ID=28260275 (survivor),28260275 | 東京地 | 20150116 | h23(ワ)26557 | 東京地|20150116|h23(ワ)26557 | 東京地方裁判所 | 平成２７年１月１６日 | 平成２３年（ワ）２６５５７号 | 小学校統廃合計画決定無効確認等請求事件,(removed; survivor=28260275 | 東京地 | 20150116 | h23(ワ)26557 | 東京地|20150116|h23(ワ)26557 | 東京地方裁判所 | 平成２７年１月１６日 | 平成２３年（ワ）２６５５７号 | 小学校統廃合計画決定無効確認等請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28232471,merged into 判例ID=28232471 (survivor),28232471 | 東京地 | 20150513 | h24(行ウ)713 | 東京地|20150513|h24(行ウ)713 | 東京地方裁判所 | 平成２７年５月１３日 | 平成２４年（行ウ）７１３号 | 法人税更正処分取消請求事件,(removed; survivor=28232471 | 東京地 | 20150513 | h24(行ウ)713 | 東京地|20150513|h24(行ウ)713 | 東京地方裁判所 | 平成２７年５月１３日 | 平成２４年（行ウ）７１３号 | 法人税更正処分取消請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28232596,merged into 判例ID=28232596 (survivor),28232596 | 最高第2小法廷 | 20150612 | h26(オ)1949 | 最高第2小法廷|20150612|h26(オ)1949 | 最高裁判所第二小法廷 | 平成２７年６月１２日 | 平成２６年（オ）１９４９号／平成２６年（オ）１９５１号／平成２６年（受）２５１９号／平成２６年（受）２５２１号 | 損害賠償請求事件,(removed; survivor=28232596 | 最高第2小法廷 | 20150612 | h26(オ)1949h26(オ)1951h26(受)2519h26(受)2521 | 最高第2小法廷|20150612|h26(オ)1949h26(オ)1951h26(受)2519h26(受)2521 | 最高裁判所第二小法廷 | 平成２７年６月１２日 | 平成２６年（オ）１９４９号／平成２６年（オ）１９５１号／平成２６年（受）２５１９号／平成２６年（受）２５２１号 | 損害賠償請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),29045360,merged into 判例ID=29045360 (survivor),29045360 | 東京地 | 20150224 | h24(行ウ)732 | 東京地|20150224|h24(行ウ)732 | 東京地方裁判所 | 平成２７年２月２４日 | 平成２４年（行ウ）７３２号 | 賃金等請求事件,(removed; survivor=29045360 | 東京地 | 20150224 | h24(行ウ)732 | 東京地|20150224|h24(行ウ)732 | 東京地方裁判所 | 平成２７年２月２４日 | 平成２４年（行ウ）７３２号 | 賃金等請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28233167,merged into 判例ID=28233167 (survivor),28233167 | 東京地 | 20150327 | h25(ワ)16709 | 東京地|20150327|h25(ワ)16709 | 東京地方裁判所 | 平成２７年３月２７日 | 平成２５年（ワ）１６７０９号 | 損害賠償等請求事件,(removed; survivor=28233167 | 東京地 | 20150327 | h25(ワ)16709 | 東京地|20150327|h25(ワ)16709 | 東京地方裁判所 | 平成２７年３月２７日 | 平成２５年（ワ）１６７０９号 | 損害賠償等請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28234375,merged into 判例ID=28234375 (survivor),28234375 | 最高第1小法廷 | 20151214 | h26(オ)77 | 最高第1小法廷|20151214|h26(オ)77 | 最高裁判所第一小法廷 | 平成２７年１２月１４日 | 平成２６年（オ）７７号／平成２６年（受）９３号 | 退職一時金返還請求事件,(removed; survivor=28234375 | 最高第1小法廷 | 20151214 | h26(オ)77h26(受)93 | 最高第1小法廷|20151214|h26(オ)77h26(受)93 | 最高裁判所第一小法廷 | 平成２７年１２月１４日 | 平成２６年（オ）７７号／平成２６年（受）９３号 | 退職一時金返還請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28241637,merged into 判例ID=28241637 (survivor),28241637 | 東京地 | 20150129 | h25(ワ)27548 | 東京地|20150129|h25(ワ)27548 | 東京地方裁判所 | 平成２７年１月２９日 | 平成２５年（ワ）２７５４８号 | 損害賠償請求事件,(removed; survivor=28241637 | 東京地 | 20150129 | h25(ワ)27548 | 東京地|20150129|h25(ワ)27548 | 東京地方裁判所 | 平成２７年１月２９日 | 平成２５年（ワ）２７５４８号 | 損害賠償請求事件),survivor rule: full-docket/correct-court/min-ID
