article_id,title,court_extracted,date_extracted,extracted_ok,hanrei_id_candidate,match_status
issn:0448-0791#v20n5#p232,Ｕｎｆａｉｒ Ｃｏｍｐｅｔｉｔｉｏｎ Ｐｒｅｖｅｎｔｉｏｎ Ｌａｗ／Ｃｏｎｆｉｇｕｌａｔｉｏｎ ｏｆ Ｇｏｏｄｓ．Ｍｉｎｎｅｓｏｔａ Ｍｉｎｉｎｇ ａｎｄ Ｍａｎｕｆａｃｔｕｒｉｎｇ Ｃｏｍｐａｎｙ ｖ． Ｋａｂｕｓｈｉｋｉ Ｋａｉｓｈａ Ｒｉｓｕｄａｎ．Ｓｕｐｒｅｍｅ Ｃｏｕｒｔ，（ｔｈｅ １ｓｔ ｐｅｔｉｔ ｂｅｎｃｈ）／Ｄｅｃｅｍｂｅｒ ２２，１９９４／Ｃａｓｅ ｎｕｍｂｅｒ ： ９４（０）１６６１．Ｔｏｋｙｏ Ｈｉｇｈ Ｃｏｕｒｔ，（ｔｈｅ １３ｔｈ Ｃｉｖｉｌ Ｄｉｖ．）／Ｍａｒｃｈ ２３，１９９４／Ｃａｓｅ Ｎｕｍｂｅｒ ： ９１（ｎｅ）４３６３．（平成６．１２．２２最高一小判，平成６．３．２３東京高判） （Ｌａｔｅｓｔ Ｄｅｖｅｌｏｐｍｅｎｔｓ ｉｎ Ｊａｐａｎｅｓｅ ＩＰ Ｃａｓｅｓ１）,最高一小,19941222,1,28032434;28032433,matched_multi
issn:0448-0791#v20n6#p320,Ｐａｔｅｎｔ ： ｄａｍａｇｅｓ ｕｎｄｅｒ ｔｏｒｔ ｌａｗ．Ｙｕｇｅｎ Ｋａｉｓｈａ Ｚｏｋｅｉ Ｋｉｋａｋｕ ｖ． Ｋａｂｕｓｈｉｋｉ Ｋａｉｓｈａ Ｎｉｓｓｏ．Ｏｓａｋａ Ｄｉｓｔｒｉｃｔ Ｃｏｕｒｔ，ｄｅｃｉｄｅｄ Ｊｕｎｅ ２９，１９９５．Ｃａｓｅ ｎｏ．９５（ｗａ）３６５３．Ｃｉｖｉｌ Ｃｏｄｅ，§７０９（平成７．６．２９大阪地判） （Ｌａｔｅｓｔ ｄｅｖｅｌｏｐｍｅｎｔｓ ｉｎ Ｊａｐａｎｅｓｅ ＩＰ ｃａｓｅｓ １）,大阪地,19950629,1,28030530;27828487;28031786;28011535,matched_multi
issn:0448-0791#v21n3#p120,Ｕｎｆａｉｒ Ｃｏｍｐｅｔｉｔｉｖｅ Ｐｒｅｖｅｎｔｉｏｎ Ｌａｗ，Ｔｒａｄｅｍａｒｋ Ｌａｗ ＆ Ｃｏｐｙｒｉｇｈｔ Ｌａｗ／Ｐｒｏｔｅｃｔｉｏｎ ｏｆ ａ ｖｅｒｙ ｆａｍｏｕｓ ｍａｒｋ．Ａｓａｈｉ Ｂｅｅｒ Ｋ．Ｋ．（Ａｓａｈｉ βｒｅｗｅｒｉｅｓ，Ｌｔｄ．） ｖ．Ａｓａｘ Ｋ．Ｋ．（Ａｓａｘ ｃｏｒｐｏｒａｔｉｏｎ）Ｔｏｋｙｏ Ｈｉｇｈ Ｃｏｕｒｔ，（ｔｈｅ １８ｔｈ ｃｉｖｉｌ ｄｉｖｉｓｉｏｎ）／Ｊａｎｕａｒｙ ２５，１９９６／ｃａｓｅ ｎｕｍｂｅｒ：９４（ｎｅ）１４７０；Ｔｏｋｙｏ Ｄｉｓｔｒｉｃｔ Ｃｏｕｒｔ，（ｔｈｅ ２９ｔｈ ｃｉｖｉｌ ｄｅｖｉｓｉｏｎ）／Ｍａｒｃｈ ２８，１９９４／ｃａｓｅ ｎｕｍｂｅｒ：９２（ｗａ）９３１１．（平成８．１．２５東京高判 平成６．３．２８東京地判） （Ｌａｔｅｓｔ ｄｅｖｅｌｏｐｍｅｎｔｓ ｉｎ Ｊａｐａｎｅｓｅ ＩＰ ｃａｓｅｓ２）,東京高,19960125,1,28010894;28031039,matched_multi
issn:0448-0791#v21n4#p173,Ｕｎｆａｉｒ Ｃｏｍｐｅｔｉｔｉｏｎ Ｐｒｅｖｅｎｔｉｏｎ Ｌａｗ ＆ Ｔｒａｄｅｍａｒｋ Ｌａｗ／Ｐｒｏｔｅｃｔｉｏｎ ｏｆ ａ ｖｅｒｙ ｆａｍｏｕｓ ｔｒａｄｅｍａｒｋ，ＳＯＮＹ Ｃｏｒｐｏｒａｔｉｏｎ ｖ． Ｙｕｇｅｎ Ｋａｉｓｈａ Ｗａｌｋｍａｎ（Ｗａｌｋｍａｎ Ｌｔｄ．）Ｃｈｉｂａ Ｄｉｓｔｒｉｃｔ Ｃｏｕｒｔ，（ｔｈｅ １ｓｔ Ｃｉｖｉｌ Ｄｉｖｉｓｉｏｎ）／Ａｐｒｉｌ １７，１９９６／ｃａｓｅ ｎｕｍｂｅｒ：９１（ｗａ）１７４６（平成８．４．１７千葉地判） （Ｌａｔｅｓｔ ｄｅｖｅｌｏｐｍｅｎｔｓ ｉｎ Ｊａｐａｎｅｓｅ ＩＰ ｃａｓｅｓ／ＡＩＰＰＩ・ＪＡＰＡＮ Ｃａｓｅ Ｓｔｕｄｙ Ｇｒｏｕｐ２）,千葉地,19960417,1,28020633,matched_unique
issn:0448-0791#v21n5#p242,Ｔｒａｄｅｍａｒｋ Ｌａｗ／Ｓｔａｔｅ Ｒｅｄｒｅｓｓ Ｌａｗ／Ｄａｍａｇｅｓ ｃａｕｓｅｄ ｂｙ Ｄｅｌａｙｓ ａｔ ｔｈｅ ＪＰＯ．Ｍａｒｕｔａ Ｋ．Ｋ． ｖ． Ｊａｐａｎ．Ｏｓａｋａ Ｈｉｇｈ Ｃｏｕｒｔ，Ｃｉｖｉｌ ８ｔｈ Ｄｉｖ．／Ｒｅｎｄｅｒｅｄ Ｓｅｐｔｅｍｂｅｒ ７，１９９５／１９９５（ｎｅ）９ ａｎｄ ６８８．Ｔｒａｄｅｍａｒｋ Ｌａｗ，Ｓｅｃｔｉｏｎｓ ２０ｂｉｓ ａｎｄ ２１（１）（ｉｉ），Ｓｔａｔｅ Ｒｅｄｒｅｓｓ Ｌａｗ，ａｒｔｉｃｌｅ １（１）（平成７．９．７大阪高判） （Ｌａｔｅｓｔ ｄｅｖｅｌｏｐｍｅｎｔｓ ｉｎ Ｊａｐａｎｅｓｅ ＩＰ ｃａｓｅｓ／ＡＩＰＰＩ・Ｊａｐａｎ Ｃａｓｅ Ｓｔｕｄｙ Ｇｒｏｕｐ２）,大阪高,19950907,1,27828265,matched_unique
issn:0448-0791#v22n1#p14,Ｕｎｆａｉｒ Ｃｏｍｐｅｔｉｔｉｏｎ Ｐｒｅｖｅｎｔｉｏｎ Ｌａｗ／Ｐａｒａｌｌｅｌ Ｉｍｐｏｒｔａｔｉｏｎ Ｄｅｆｅｎｃｅ．Ｔｈｅ Ｏｓａｋａ Ｄｉｓｔｒｉｃｔ Ｃｏｕｒｔ，Ｃｉｖｉｌ ２１ｓｔ Ｓｅｃｔｉｏｎ． Ｄｅｌｉｖｅｒｅｄ Ｓｅｐｔｅｍｂｅｒ ２８，１９９５，Ｊｕｄｇｅｍｅｎｔ ｏｎ Ｃａｓｅ ＷＡ ｎｏ．１７１４．Ｐｌａｉｎｔｉｆｆ ： Ｙｕｇｅｎ Ｋａｉｓｈａ Ｍａｒｕｋａｔｓｕ．Ｄｅｆｅｎｄａｎｔ ： Ｋａｂｕｓｈｉｋｉ Ｋａｉｓｈａ Ｍｉｎｉ―Ｂｏｘ．（平成７．９．２８大阪地判） （Ｌａｔｅｓｔ Ｄｅｖｅｌｏｐｍｅｎｔｓ ｉｎ Ｊａｐａｎｅｓｅ ＩＰ Ｃａｓｅｓ／ＡＩＰＰＩ・Ｊａｐａｎ Ｃａｓｅ Ｓｔｕｄｙ Ｇｒｏｕｐ １）,大阪地,19950928,1,27829071;28010298;28031835;28020511,matched_multi
issn:0448-0791#v22n5#p230,Ｔｒａｄｅｍａｒｋ／Ｕｎｆａｉｒ ｃｏｍｐｅｔｉｔｉｏｎ／Ｉｎｊｕｎｃｔｉｏｎ ： ａｐｐｅａｌ ａｇａｉｎｓｔ ｄｅｃｉｓｉｏｎ ｇｒａｎｔｉｎｇ ｉｎｊｕｎｃｔｉｏｎ ａｇａｉｎｓｔ ｐｒｏｄｕｃｔｉｏｎ／ｓａｌｅ ｏｆ ａ ｐｒｏｄｕｃｔ．Ｎｉｓｓｈｉｎ Ｃｉｓｃｏ Ｋ．Ｋ． ｖｓ． Ｋｅｌｌｏｇ Ｃｏｍｐａｎｙ ＆ Ｋ．Ｋ．Ｋｅｌｌｏｇｇ Ｊａｐａｎ．Ｏｓａｋａ Ｈｉｇｈ Ｃｏｕｒｔ， ８ｔｈ Ｃｉｖｉｌ Ｄｉｖｉｓｉｏｎ，１９９１（ｎｅ）ｎｏ．１００３／／Ｊｕｎｅ ２１，１９９６（平成８．６．２１大阪高判） （Ｌａｔｅｓｔ ｄｅｖｅｌｏｐｍｅｎｔｓ ｉｎ Ｊａｐａｎｅｓｅ ＩＰ ｃａｓｅｓ／ＡＩＰＰＩ・Ｊａｐａｎ Ｃａｓｅ Ｓｔｕｄｙ Ｇｒｏｕｐ ２）,大阪高,19960621,1,,date_only_court_miss
issn:0448-0791#v24n4#p154,Ｅｌｌｅ ｖ．Ｅｌｌｅｃｕｌｂ ｔｒａｄｅｍａｒｋ ｄｉｓｐｕｔｅ ｆｏｒｃｅｓ ＪＰＯ ａｍｅｎｄｍｅｎｔ ｔｏ ｅｘａｍｉｎａｔｉｏｎ ｓｔａｎｄａｒｄｓ．Ｈａｃｈｅｔｔｅ Ｆｉｌｉｐａｃｃｉ Ｐｒｅｓｓｅ Ｓ．Ａ．ｅｔ ａｌ．，ｖ．Ｋ．Ｋ．Ｄｅｃｏ ｅｔ ａｌ．Ｕｎｆａｉｒ ｃｏｍｐｅｔｉｔｉｏｎ ｓｕｉｔｓ ａｔ ｔｈｅ Ｔｏｋｙｏ Ｄｉｓｔｒｉｃｔ Ｃｏｕｒｔ．Ｕｎｆａｉｒ Ｃｏｍｐｅｔｉｔｉｏｎ Ｐｒｅｖｅｎｔｉｏｎ Ｌａｗ ａｒｔｉｃｌｅｓ ２―１―１，２―１―２，ａｎｄ ３．Ｔｏｋｙｏ Ｄｉｓｔｒｉｃｔ Ｃｏｕｒｔ，２９ｔｈ Ｃｉｖｉｌ Ｄｉｖｉｓｉｏｎ，Ｎｏｖｅｍｂｅｒ ２７，１９９８．Ｈ０９（ｗａ）ｎｏ．１５６３０（ｃａｓｅ Ａ），Ｈ０９（ｗａ）ｎｏ．１９１６９（ｃａｓｅ Ｂ），Ｈ０９―（ｗａ）ｎｏ．２８０１５（ｃａｓｅ Ｃ）Ｐａｒｔｉｅｓ ： Ｐｌａｉｎｔｉｆｆｓ ； Ｈａｃｈｅｔｔｅ Ｆｉｌｉｐａｃｃｉ Ｐｒｅｓｓｅ Ｓ．Ａ．（ｃａｓｅｓ Ａ ａｎｄ Ｂ），ＫＫ Ｅｆｆａ，ＫＫ Ｓｈｉｋａｔａ（ｃａｓｅ Ｃ）Ｄｅｆｅｎｄａｎｔｓ ； ＫＫ Ｄｅｃｏ Ｊａｐａｎ（ｃａｓｅｓ Ａ ａｎｄ Ｂ），ＫＫ Ｔａｋａｉｓｈｉ（ｃａｓｅｓ Ａ ａｎｄ Ｃ），ＫＫ Ｏｎａｇａ Ｍｅｇａｎｅ，Ｓａｔｏ Ｋｉｎｚｏｋｕ Ｋｏｇｙｏ ＫＫ（ｃａｓｅ Ａ），ＫＫ Ｈｉｒｏｔａ（ｃａｓｅ Ｂ）（平成１０．１１．２７東京地判） （Ｌａｔｅｓｔ ｄｅｖｅｌｏｐｍｅｎｔｓ ｉｎ Ｊａｐａｎｅｓｅ ＩＰ ｃａｓｅｓ／ＡＩＰＰＩ・ＪＡＰＡＮ Ｃａｓｅ Ｓｔｕｄｙ Ｇｒｏｕｐ ２）,東京地,19981127,1,28042408;28040787;28040786;28052057;28060152,matched_multi
issn:0448-0791#v24n5#p205,Ｐａｔｅｎｔ／Ｃｏｎｆｌｉｃｔ ｏｆ ｌａｗｓ／Ｅｘｔｒａｔｅｒｒｉｔｏｒｉａｌｉｔｙ．Ｆｕｊｉｍｏｔｏ Ａｋｉｒａ ｖ． Ｋａｂｕｓｈｉｋｉ Ｋａｉｓｈａ Ｎｅｗｌｏｎ．Ｔｏｋｙｏ Ｄｉｓｔｒｉｃｔ Ｃｏｕｒｔ，Ｃｉｖｉｌ ４６ｔｈ Ｄｉｖｉｓｉｏｎ（Ｈｅｉ ９（ｗａ）２３１０９），ｄｅｃｉｄｅｄ Ａｐｒｉｌ ２２，１９９９．Ｐａｔｅｎｔ Ｌａｗ，ｓｅｃｔｉｏｎ １０２； Ｃｏｎｆｌｉｃｔ Ｌａｗ（Ｈｏｒｅｉ），ｓｅｃｔｉｏｎ １１（平成１１．４．２２東京地判） （Ｌａｔｅｓｔ ｄｅｖｅｌｏｐｍｅｎｔｓ ｉｎ Ｊａｐａｎｅｓｅ ＩＰ ｃａｓｅｓ／ＡＩＰＰＩ・ＪＡＰＡＮ Ｃａｓｅ Ｓｔｕｄｙ Ｇｒｏｕｐ １）,東京地,19990422,1,28042050;28050213;28042049;28040836;28042630,matched_multi
issn:0448-0791#v24n6#p277,Ｐｒｏｔｅｃｔｉｏｎ ｏｆ ａ ｗｅｌｌ―ｋｎｏｗｎ ｇａｒｍｅｎｔ ｄｅｓｉｇｎ ｕｎｄｅｒ ｔｈｅ Ｕｎｆａｉｒ Ｃｏｍｐｅｔｉｔｉｏｎ Ｌａｗ（平成１１．６．２９東京地判） （Ｃａｓｅ ｗａｔｃｈ／ＡＩＰＰＩ・ＪＡＰＡＮ）,東京地,19990629,1,28041466;28041465;28050630;28052125;28042071,matched_multi
issn:0448-0791#v24n6#p279,Ｐｒｅｌｉｍｉｎａｒｙ ｉｎｊｕｎｃｔｉｏｎ ｂａｓｅｄ ｏｎ ｔｈｅ Ｕｎｆａｉｒ Ｃｏｍｐｅｔｉｔｉｏｎ Ｐｒｅｖｅｎｔｉｏｎ Ｌａｗ ： Ａｐｐｌｅ Ｃｏｍｐｕｔｅｒ，Ｉｎｃ．ｅｔ ａｌ ｖ． Ｓｏｔｅｃ Ｃｏｒｐｏｒａｔｉｏｎ．Ｔｏｋｙｏ Ｄｉｓｔｒｉｃｔ Ｃｏｕｒｔ，２９ｔｈ Ｃｉｖｉｌ Ｄｉｖｉｓｉｏｎ／ｃａｓｅ ｎｏ．Ｈｅｉｓｅｉ １１（ｙｏ）ｎｏ．２２１２５（平成１１．９．２０東京地決） （Ｃａｓｅ ｗａｔｃｈ／ＡＩＰＰＩ・ＪＡＰＡＮ）,東京地,19990920,1,28050385;28042189;28172366,matched_multi
issn:0448-0791#v31n3#p99,Ｆｉｒｓｔ Ｄｅｃｉｓｉｏｎ ｏｆ ｔｈｅ Ｇｒａｎｄ Ｐａｎｅｌ ｏｆ Ｉｎｔｅｌｌｅｃｔｕａｌ Ｐｒｏｐｅｒｔｙ Ｈｉｇｈ Ｃｏｕｒｔ――Ｗｈｅｔｈｅｒ ｔｈｅ Ｐｒｏｄｕｃｔｉｏｎ ａｎｄ Ｓａｌｅ ｏｆ Ｃｏｍｐｕｔｅｒ Ｓｏｆｔｗａｒｅ Ｉｎｆｒｉｎｇｅｓ Ｐａｔｅｎｔ Ｒｉｇｈｔｓ ｆｏｒ ａ “Ｐｒｏｇｒａｍ Ｐｌｕｓ Ａｐｐａｒａｔｕｓ” Ｉｎｖｅｎｔｉｏｎ ｗｈｅｒｅ Ｈａｒｄｗａｒｅ ｗａｓ Ｉｎｄｉｓｐｅｎｓａｂｌｅ ｔｏ ｔｈｅ Ｃｏｎｓｔｉｔｕｔｉｏｎ ｏｆ ｔｈｅ Ｃｌａｉｍ,,,0,,no_extract
issn:0448-0791#v32n1#p27,Ｄｅｖｅｌｏｐｅｒ ｏｆ Ｐ２Ｐ Ｆｉｌｅ－Ｓｈａｒｉｎｇ Ｓｏｆｔｗａｒｅ Ｆｏｕｎｄ Ｇｕｉｌｔｙ ｏｆ Ａｉｄｉｎｇ ａｎｄ Ａｂｅｔｔｉｎｇ Ｃｏｐｙｒｉｇｈｔ Ｉｎｆｒｉｎｇｅｍｅｎｔ（平成１８．１２．１３京都地判）＜Ｄｅｃｉｓｉｏｎ＞,京都地,20061213,1,28135109,matched_unique
issn:0448-0791#v32n3#p132,Ｌａｔｅｓｔ Ｄｅｖｅｌｏｐｍｅｎｔｓ ｉｎ Ｊａｐａｎｅｓｅ ＩＰ Ｃａｓｅｓ――Ｐａｔｅｎｔ Ｉｎｆｒｉｎｇｅｍｅｎｔ Ｄｅｆｅｎｓｅ／Ａｎｔｉｃｏｍｐｅｔｉｔｉｖｅ Ａｒｒａｎｇｅｍｅｎｔ／Ｔｅｃｈｎｉｃａｌ Ｓｔａｎｄａｒｄ―Ｍｕｔｓｕｍｉ Ｓａｎｇｙｏ Ｋ．Ｋ． ｖ． Ｈｉｎｏｄｅ Ｓｕｉｄｏ Ｋｉｋｉ Ｋ．Ｋ． ａｎｄ Ｌｉｃｅｎｓｅ ＆ Ｐｒｏｐｅｒｔｙ Ｃｏｎｔｒｏｌ Ｃｏ．，Ｌｔｄ．（平成１８．７．２０知財高判）＜ＡＩＰＰＩ Ｃａｓｅ Ｒｅｐｏｒｔｅｒ＞,知財高,20060720,1,28111586;28214021,matched_multi
issn:0448-0791#v32n5#p288,Ｌａｔｅｓｔ Ｄｅｖｅｌｏｐｍｅｎｔｓ ｉｎ Ｊａｐａｎｅｓｅ ＩＰ Ｃａｓｅｓ――Ｃｏｐｙｒｉｇｈｔ Ａｃｔ／Ｉｎｆｒｉｎｇｅｍｅｎｔ ｏｆ Ｒｉｇｈｔｓ ｏｆ Ｒｅｐｒｏｄｕｃｔｉｏｎ ａｎｄ Ｐｕｂｌｉｃ Ｔｒａｎｓｍｉｓｓｉｏｎ／Ｍｕｓｉｃ Ｆｉｌｅ Ｓｔｏｒａｇｅ Ｓｅｒｖｉｃｅ―Ｉｍａｇｅ Ｃｉｔｙ Ｋ．Ｋ． ｖ． Ｊａｐａｎｅｓｅ Ｓｏｃｉｅｔｙ ｆｏｒ Ｒｉｇｈｔｓ ｏｆ Ａｕｔｈｏｒｓ，Ｃｏｍｐｏｓｅｒｓ ａｎｄ Ｐｕｂｌｉｓｈｅｒｓ （ＪＡＳＲＡＣ）（平成１９．５．２５東京地判）＜ＡＩＰＰＩ Ｃａｓｅ Ｒｅｐｏｒｔｅｒ＞,東京地,20070525,1,,no_match
issn:0448-0791#v32n6#p344,Ｌａｔｅｓｔ Ｄｅｖｅｌｏｐｍｅｎｔｓ ｉｎ Ｊａｐａｎｅｓｅ ＩＰ Ｃａｓｅｓ――Ｕｎｆａｉｒ Ｃｏｍｐｅｔｉｔｉｏｎ／Ｍｉｓｌｅａｄｉｎｇ Ｉｎｄｉｃａｔｉｏｎ ｏｆ Ｏｒｉｇｉｎ―Ｋａｂｕｓｈｉｋｉｇａｉｓｈａ Ｋａｉｚｕｙａ ｖ． Ｋａｂｕｓｈｉｋｉｇａｉｓｈａ Ｈｉｍｉ－Ｕｄｏｎ Ｔａｋａｏｋａｙａ Ｈｏｎｐｏ ｅｔ ａｌ．（平成１８．１１．１０富山地高岡支判）＜ＡＩＰＰＩ Ｃａｓｅ Ｒｅｐｏｒｔｅｒ＞,富山地高岡支,20061110,1,28130803,matched_unique
